# hebcal yomtov cache
# startYear=2026 years=100 israel=on
date,name
2071-09-24,"ראש השנה 5832"
2071-09-25,"ראש השנה ב׳"
2071-10-03,"יום כיפור"
2071-10-08,"סוכות א׳"
2071-10-15,"שמיני עצרת"
2072-04-03,"פסח א׳"
2072-04-09,"פסח ז׳"
2072-05-23,"שבועות"
2072-09-13,"ראש השנה 5833"
2072-09-14,"ראש השנה ב׳"
2072-09-22,"יום כיפור"
2072-09-27,"סוכות א׳"
2072-10-04,"שמיני עצרת"
2073-04-22,"פסח א׳"
2073-04-28,"פסח ז׳"
2073-06-11,"שבועות"
2073-10-02,"ראש השנה 5834"
2073-10-03,"ראש השנה ב׳"
2073-10-11,"יום כיפור"
2073-10-16,"סוכות א׳"
2073-10-23,"שמיני עצרת"
2074-04-12,"פסח א׳"
2074-04-18,"פסח ז׳"
2074-06-01,"שבועות"
2074-09-22,"ראש השנה 5835"
2074-09-23,"ראש השנה ב׳"
2074-10-01,"יום כיפור"
2074-10-06,"סוכות א׳"
2074-10-13,"שמיני עצרת"
2075-03-31,"פסח א׳"
2075-04-06,"פסח ז׳"
2075-05-20,"שבועות"
2075-09-10,"ראש השנה 5836"
2075-09-11,"ראש השנה ב׳"
2075-09-19,"יום כיפור"
2075-09-24,"סוכות א׳"
2075-10-01,"שמיני עצרת"
2076-04-18,"פסח א׳"
2076-04-24,"פסח ז׳"
2076-06-07,"שבועות"
2076-09-28,"ראש השנה 5837"
2076-09-29,"ראש השנה ב׳"
2076-10-07,"יום כיפור"
2076-10-12,"סוכות א׳"
2076-10-19,"שמיני עצרת"
2077-04-08,"פסח א׳"
2077-04-14,"פסח ז׳"
2077-05-28,"שבועות"
2077-09-18,"ראש השנה 5838"
2077-09-19,"ראש השנה ב׳"
2077-09-27,"יום כיפור"
2077-10-02,"סוכות א׳"
2077-10-09,"שמיני עצרת"
2078-03-29,"פסח א׳"
2078-04-04,"פסח ז׳"
2078-05-18,"שבועות"
2078-09-08,"ראש השנה 5839"
2078-09-09,"ראש השנה ב׳"
2078-09-17,"יום כיפור"
2078-09-22,"סוכות א׳"
2078-09-29,"שמיני עצרת"
2079-04-16,"פסח א׳"
2079-04-22,"פסח ז׳"
2079-06-05,"שבועות"
2079-09-26,"ראש השנה 5840"
2079-09-27,"ראש השנה ב׳"
2079-10-05,"יום כיפור"
2079-10-10,"סוכות א׳"
2079-10-17,"שמיני עצרת"
2080-04-04,"פסח א׳"
2080-04-10,"פסח ז׳"
2080-05-24,"שבועות"
2080-09-14,"ראש השנה 5841"
2080-09-15,"ראש השנה ב׳"
2080-09-23,"יום כיפור"
2080-09-28,"סוכות א׳"
2080-10-05,"שמיני עצרת"
2081-04-24,"פסח א׳"
2081-04-30,"פסח ז׳"
2081-06-13,"שבועות"
2081-10-04,"ראש השנה 5842"
2081-10-05,"ראש השנה ב׳"
2081-10-13,"יום כיפור"
2081-10-18,"סוכות א׳"
2081-10-25,"שמיני עצרת"
2082-04-14,"פסח א׳"
2082-04-20,"פסח ז׳"
2082-06-03,"שבועות"
2082-09-24,"ראש השנה 5843"
2082-09-25,"ראש השנה ב׳"
2082-10-03,"יום כיפור"
2082-10-08,"סוכות א׳"
2082-10-15,"שמיני עצרת"
2083-04-03,"פסח א׳"
2083-04-09,"פסח ז׳"
2083-05-23,"שבועות"
2083-09-13,"ראש השנה 5844"
2083-09-14,"ראש השנה ב׳"
2083-09-22,"יום כיפור"
2083-09-27,"סוכות א׳"
2083-10-04,"שמיני עצרת"
2084-04-20,"פסח א׳"
2084-04-26,"פסח ז׳"
2084-06-09,"שבועות"
2084-09-30,"ראש השנה 5845"
2084-10-01,"ראש השנה ב׳"
2084-10-09,"יום כיפור"
2084-10-14,"סוכות א׳"
2084-10-21,"שמיני עצרת"
2085-04-10,"פסח א׳"
2085-04-16,"פסח ז׳"
2085-05-30,"שבועות"
2085-09-20,"ראש השנה 5846"
2085-09-21,"ראש השנה ב׳"
2085-09-29,"יום כיפור"
2085-10-04,"סוכות א׳"
2085-10-11,"שמיני עצרת"
2086-03-30,"פסח א׳"
2086-04-05,"פסח ז׳"
2086-05-19,"שבועות"
2086-09-09,"ראש השנה 5847"
2086-09-10,"ראש השנה ב׳"
2086-09-18,"יום כיפור"
2086-09-23,"סוכות א׳"
2086-09-30,"שמיני עצרת"
2087-04-17,"פסח א׳"
2087-04-23,"פסח ז׳"
2087-06-06,"שבועות"
2087-09-27,"ראש השנה 5848"
2087-09-28,"ראש השנה ב׳"
2087-10-06,"יום כיפור"
2087-10-11,"סוכות א׳"
2087-10-18,"שמיני עצרת"
2088-04-06,"פסח א׳"
2088-04-12,"פסח ז׳"
2088-05-26,"שבועות"
2088-09-16,"ראש השנה 5849"
2088-09-17,"ראש השנה ב׳"
2088-09-25,"יום כיפור"
2088-09-30,"סוכות א׳"
2088-10-07,"שמיני עצרת"
2089-03-26,"פסח א׳"
2089-04-01,"פסח ז׳"
2089-05-15,"שבועות"
2089-09-05,"ראש השנה 5850"
2089-09-06,"ראש השנה ב׳"
2089-09-14,"יום כיפור"
2089-09-19,"סוכות א׳"
2089-09-26,"שמיני עצרת"
2090-04-15,"פסח א׳"
2090-04-21,"פסח ז׳"
2090-06-04,"שבועות"
2090-09-25,"ראש השנה 5851"
2090-09-26,"ראש השנה ב׳"
2090-10-04,"יום כיפור"
2090-10-09,"סוכות א׳"
2090-10-16,"שמיני עצרת"
2091-04-03,"פסח א׳"
2091-04-09,"פסח ז׳"
2091-05-23,"שבועות"
2091-09-13,"ראש השנה 5852"
2091-09-14,"ראש השנה ב׳"
2091-09-22,"יום כיפור"
2091-09-27,"סוכות א׳"
2091-10-04,"שמיני עצרת"
2092-04-22,"פסח א׳"
2092-04-28,"פסח ז׳"
2092-06-11,"שבועות"
2092-10-02,"ראש השנה 5853"
2092-10-03,"ראש השנה ב׳"
2092-10-11,"יום כיפור"
2092-10-16,"סוכות א׳"
2092-10-23,"שמיני עצרת"
2093-04-11,"פסח א׳"
2093-04-17,"פסח ז׳"
2093-05-31,"שבועות"
2093-09-21,"ראש השנה 5854"
2093-09-22,"ראש השנה ב׳"
2093-09-30,"יום כיפור"
2093-10-05,"סוכות א׳"
2093-10-12,"שמיני עצרת"
2094-04-01,"פסח א׳"
2094-04-07,"פסח ז׳"
2094-05-21,"שבועות"
2094-09-11,"ראש השנה 5855"
2094-09-12,"ראש השנה ב׳"
2094-09-20,"יום כיפור"
2094-09-25,"סוכות א׳"
2094-10-02,"שמיני עצרת"
2095-04-19,"פסח א׳"
2095-04-25,"פסח ז׳"
2095-06-08,"שבועות"
2095-09-29,"ראש השנה 5856"
2095-09-30,"ראש השנה ב׳"
2095-10-08,"יום כיפור"
2095-10-13,"סוכות א׳"
2095-10-20,"שמיני עצרת"
2096-04-07,"פסח א׳"
2096-04-13,"פסח ז׳"
2096-05-27,"שבועות"
2096-09-17,"ראש השנה 5857"
2096-09-18,"ראש השנה ב׳"
2096-09-26,"יום כיפור"
2096-10-01,"סוכות א׳"
2096-10-08,"שמיני עצרת"
2097-03-28,"פסח א׳"
2097-04-03,"פסח ז׳"
2097-05-17,"שבועות"
2097-09-07,"ראש השנה 5858"
2097-09-08,"ראש השנה ב׳"
2097-09-16,"יום כיפור"
2097-09-21,"סוכות א׳"
2097-09-28,"שמיני עצרת"
2098-04-17,"פסח א׳"
2098-04-23,"פסח ז׳"
2098-06-06,"שבועות"
2098-09-27,"ראש השנה 5859"
2098-09-28,"ראש השנה ב׳"
2098-10-06,"יום כיפור"
2098-10-11,"סוכות א׳"
2098-10-18,"שמיני עצרת"
2099-04-05,"פסח א׳"
2099-04-11,"פסח ז׳"
2099-05-25,"שבועות"
2099-09-15,"ראש השנה 5860"
2099-09-16,"ראש השנה ב׳"
2099-09-24,"יום כיפור"
2099-09-29,"סוכות א׳"
2099-10-06,"שמיני עצרת"
2100-04-24,"פסח א׳"
2100-04-30,"פסח ז׳"
2100-06-13,"שבועות"
2100-10-04,"ראש השנה 5861"
2100-10-05,"ראש השנה ב׳"
2100-10-13,"יום כיפור"
2100-10-18,"סוכות א׳"
2100-10-25,"שמיני עצרת"
2101-04-14,"פסח א׳"
2101-04-20,"פסח ז׳"
2101-06-03,"שבועות"
2101-09-24,"ראש השנה 5862"
2101-09-25,"ראש השנה ב׳"
2101-10-03,"יום כיפור"
2101-10-08,"סוכות א׳"
2101-10-15,"שמיני עצרת"
2102-04-04,"פסח א׳"
2102-04-10,"פסח ז׳"
2102-05-24,"שבועות"
2102-09-14,"ראש השנה 5863"
2102-09-15,"ראש השנה ב׳"
2102-09-23,"יום כיפור"
2102-09-28,"סוכות א׳"
2102-10-05,"שמיני עצרת"
2103-04-22,"פסח א׳"
2103-04-28,"פסח ז׳"
2103-06-11,"שבועות"
2103-10-02,"ראש השנה 5864"
2103-10-03,"ראש השנה ב׳"
2103-10-11,"יום כיפור"
2103-10-16,"סוכות א׳"
2103-10-23,"שמיני עצרת"
2104-04-10,"פסח א׳"
2104-04-16,"פסח ז׳"
2104-05-30,"שבועות"
2104-09-20,"ראש השנה 5865"
2104-09-21,"ראש השנה ב׳"
2104-09-29,"יום כיפור"
2104-10-04,"סוכות א׳"
2104-10-11,"שמיני עצרת"
2105-03-31,"פסח א׳"
2105-04-06,"פסח ז׳"
2105-05-20,"שבועות"
2105-09-10,"ראש השנה 5866"
2105-09-11,"ראש השנה ב׳"
2105-09-19,"יום כיפור"
2105-09-24,"סוכות א׳"
2105-10-01,"שמיני עצרת"
2106-04-20,"פסח א׳"
2106-04-26,"פסח ז׳"
2106-06-09,"שבועות"
2106-09-30,"ראש השנה 5867"
2106-10-01,"ראש השנה ב׳"
2106-10-09,"יום כיפור"
2106-10-14,"סוכות א׳"
2106-10-21,"שמיני עצרת"
2107-04-09,"פסח א׳"
2107-04-15,"פסח ז׳"
2107-05-29,"שבועות"
2107-09-19,"ראש השנה 5868"
2107-09-20,"ראש השנה ב׳"
2107-09-28,"יום כיפור"
2107-10-03,"סוכות א׳"
2107-10-10,"שמיני עצרת"
2108-03-27,"פסח א׳"
2108-04-02,"פסח ז׳"
2108-05-16,"שבועות"
2108-09-06,"ראש השנה 5869"
2108-09-07,"ראש השנה ב׳"
2108-09-15,"יום כיפור"
2108-09-20,"סוכות א׳"
2108-09-27,"שמיני עצרת"
2109-04-16,"פסח א׳"
2109-04-22,"פסח ז׳"
2109-06-05,"שבועות"
2109-09-26,"ראש השנה 5870"
2109-09-27,"ראש השנה ב׳"
2109-10-05,"יום כיפור"
2109-10-10,"סוכות א׳"
2109-10-17,"שמיני עצרת"
2110-04-05,"פסח א׳"
2110-04-11,"פסח ז׳"
2110-05-25,"שבועות"
2110-09-15,"ראש השנה 5871"
2110-09-16,"ראש השנה ב׳"
2110-09-24,"יום כיפור"
2110-09-29,"סוכות א׳"
2110-10-06,"שמיני עצרת"
2111-04-23,"פסח א׳"
2111-04-29,"פסח ז׳"
2111-06-12,"שבועות"
2111-10-03,"ראש השנה 5872"
2111-10-04,"ראש השנה ב׳"
2111-10-12,"יום כיפור"
2111-10-17,"סוכות א׳"
2111-10-24,"שמיני עצרת"
2112-04-12,"פסח א׳"
2112-04-18,"פסח ז׳"
2112-06-01,"שבועות"
2112-09-22,"ראש השנה 5873"
2112-09-23,"ראש השנה ב׳"
2112-10-01,"יום כיפור"
2112-10-06,"סוכות א׳"
2112-10-13,"שמיני עצרת"
2113-04-01,"פסח א׳"
2113-04-07,"פסח ז׳"
2113-05-21,"שבועות"
2113-09-11,"ראש השנה 5874"
2113-09-12,"ראש השנה ב׳"
2113-09-20,"יום כיפור"
2113-09-25,"סוכות א׳"
2113-10-02,"שמיני עצרת"
2114-04-21,"פסח א׳"
2114-04-27,"פסח ז׳"
2114-06-10,"שבועות"
2114-10-01,"ראש השנה 5875"
2114-10-02,"ראש השנה ב׳"
2114-10-10,"יום כיפור"
2114-10-15,"סוכות א׳"
2114-10-22,"שמיני עצרת"
2115-04-09,"פסח א׳"
2115-04-15,"פסח ז׳"
2115-05-29,"שבועות"
2115-09-19,"ראש השנה 5876"
2115-09-20,"ראש השנה ב׳"
2115-09-28,"יום כיפור"
2115-10-03,"סוכות א׳"
2115-10-10,"שמיני עצרת"
2116-03-28,"פסח א׳"
2116-04-03,"פסח ז׳"
2116-05-17,"שבועות"
2116-09-07,"ראש השנה 5877"
2116-09-08,"ראש השנה ב׳"
2116-09-16,"יום כיפור"
2116-09-21,"סוכות א׳"
2116-09-28,"שמיני עצרת"
2117-04-17,"פסח א׳"
2117-04-23,"פסח ז׳"
2117-06-06,"שבועות"
2117-09-27,"ראש השנה 5878"
2117-09-28,"ראש השנה ב׳"
2117-10-06,"יום כיפור"
2117-10-11,"סוכות א׳"
2117-10-18,"שמיני עצרת"
2118-04-07,"פסח א׳"
2118-04-13,"פסח ז׳"
2118-05-27,"שבועות"
2118-09-17,"ראש השנה 5879"
2118-09-18,"ראש השנה ב׳"
2118-09-26,"יום כיפור"
2118-10-01,"סוכות א׳"
2118-10-08,"שמיני עצרת"
2119-04-25,"פסח א׳"
